title,genre,year,vote_count,vote_average,popularity
Now and Then,Family,1995,91,6,8.681325
Persuasion,Drama,1995,36,7,2.228434
Persuasion,Romance,1995,36,7,2.228434
The City of Lost Children,Fantasy,1995,308,7,9.822423
The City of Lost Children,Science Fiction,1995,308,7,9.822423
The City of Lost Children,Adventure,1995,308,7,9.822423
Shanghai Triad,Drama,1995,17,6,1.100915
Shanghai Triad,Crime,1995,17,6,1.100915
Dangerous Minds,Drama,1995,249,6,9.481338
Dangerous Minds,Crime,1995,249,6,9.481338
Twelve Monkeys,Science Fiction,1995,2470,7,12.297305
Twelve Monkeys,Thriller,1995,2470,7,12.297305
Twelve Monkeys,Mystery,1995,2470,7,12.297305
Wings of Courage,Romance,1996,4,6,0.745542
Wings of Courage,Adventure,1996,4,6,0.745542
Babe,Fantasy,1995,756,6,14.404764
Babe,Drama,1995,756,6,14.404764
Babe,Comedy,1995,756,6,14.404764
Babe,Family,1995,756,6,14.404764
Carrington,History,1995,16,6,1.493361
Carrington,Drama,1995,16,6,1.493361
Carrington,Romance,1995,16,6,1.493361
Dead Man Walking,Drama,1995,350,7,6.891317
Across the Sea of Time,Adventure,1995,2,3,0.114469
Across the Sea of Time,History,1995,2,3,0.114469
Across the Sea of Time,Drama,1995,2,3,0.114469
Across the Sea of Time,Family,1995,2,3,0.114469
It Takes Two,Comedy,1995,149,6,7.777735
It Takes Two,Family,1995,149,6,7.777735
It Takes Two,Romance,1995,149,6,7.777735
Clueless,Comedy,1995,828,6,9.882383
Clueless,Drama,1995,828,6,9.882383
Clueless,Romance,1995,828,6,9.882383
"Cry, the Beloved Country",Drama,1995,13,6,0.894647
Richard III,Drama,1995,50,6,4.561387
Richard III,War,1995,50,6,4.561387
Dead Presidents,Action,1995,80,6,9.87957
Dead Presidents,Crime,1995,80,6,9.87957
Dead Presidents,Drama,1995,80,6,9.87957
Dead Presidents,History,1995,80,6,9.87957
Restoration,Drama,1995,30,6,10.979269
Restoration,Romance,1995,30,6,10.979269
Mortal Kombat,Action,1995,452,5,10.870138
Mortal Kombat,Fantasy,1995,452,5,10.870138
To Die For,Fantasy,1995,177,6,10.448481
To Die For,Drama,1995,177,6,10.448481
To Die For,Comedy,1995,177,6,10.448481
To Die For,Thriller,1995,177,6,10.448481
How To Make An American Quilt,Drama,1995,38,6,4.485958
How To Make An American Quilt,Romance,1995,38,6,4.485958
Se7en,Crime,1995,5915,8,18.45743
Se7en,Mystery,1995,5915,8,18.45743
Se7en,Thriller,1995,5915,8,18.45743
Pocahontas,Adventure,1995,1509,6,13.280069
Pocahontas,Animation,1995,1509,6,13.280069
Pocahontas,Drama,1995,1509,6,13.280069
Pocahontas,Family,1995,1509,6,13.280069
When Night Is Falling,Drama,1995,10,5,3.302524
When Night Is Falling,Romance,1995,10,5,3.302524
The Usual Suspects,Drama,1995,3334,8,16.302466
The Usual Suspects,Crime,1995,3334,8,16.302466
The Usual Suspects,Thriller,1995,3334,8,16.302466
Guardian Angel,Action,1994,3,6,0.595949
Guardian Angel,Thriller,1994,3,6,0.595949
Guardian Angel,Drama,1994,3,6,0.595949
Mighty Aphrodite,Comedy,1995,145,6,15.899134
Mighty Aphrodite,Romance,1995,145,6,15.899134
Lamerica,Drama,1994,11,7,1.361286
Lamerica,Foreign,1994,11,7,1.361286
The Big Green,Action,1995,41,5,5.982764
The Big Green,Adventure,1995,41,5,5.982764
The Big Green,Comedy,1995,41,5,5.982764
The Big Green,Family,1995,41,5,5.982764
Georgia,Drama,1995,15,6,4.093443
Home for the Holidays,Comedy,1995,39,6,8.416802
Home for the Holidays,Drama,1995,39,6,8.416802
Home for the Holidays,Romance,1995,39,6,8.416802
The Postman,Comedy,1994,181,7,10.168437
The Postman,Drama,1994,181,7,10.168437
The Postman,Romance,1994,181,7,10.168437
The Confessional,Thriller,1995,2,6,0.120789
The Confessional,Drama,1995,2,6,0.120789
The Confessional,Mystery,1995,2,6,0.120789
The Indian in the Cupboard,Adventure,1995,136,5,10.673296
The Indian in the Cupboard,Family,1995,136,5,10.673296
The Indian in the Cupboard,Fantasy,1995,136,5,10.673296
Eye for an Eye,Drama,1996,65,5,4.733526
Eye for an Eye,Thriller,1996,65,5,4.733526
Mr. Holland's Opus,Music,1995,115,6,7.137117
Mr. Holland's Opus,Drama,1995,115,6,7.137117
Mr. Holland's Opus,Family,1995,115,6,7.137117
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Comedy,1996,192,6,11.700115
Two If by Sea,Comedy,1996,14,4,2.174487
Two If by Sea,Romance,1996,14,4,2.174487
Bio-Dome,Comedy,1996,110,4,6.387469
Lawnmower Man 2: Beyond Cyberspace,Action,1996,32,2,2.49535
Lawnmower Man 2: Beyond Cyberspace,Science Fiction,1996,32,2,2.49535
Two Bits,Drama,1995,11,5,4.046208
Two Bits,Family,1995,11,5,4.046208
French Twist,Comedy,1995,43,6,2.518051
French Twist,Romance,1995,43,6,2.518051
Friday,Comedy,1995,513,7,14.56965
From Dusk Till Dawn,Horror,1996,1644,6,15.339153
From Dusk Till Dawn,Action,1996,1644,6,15.339153
From Dusk Till Dawn,Thriller,1996,1644,6,15.339153
From Dusk Till Dawn,Crime,1996,1644,6,15.339153
Fair Game,Action,1995,54,4,5.912223
Fair Game,Thriller,1995,54,4,5.912223
Fair Game,Romance,1995,54,4,5.912223
Kicking and Screaming,Comedy,1995,36,7,3.367276
Kicking and Screaming,Drama,1995,36,7,3.367276
Kicking and Screaming,Romance,1995,36,7,3.367276
Les Miserables,Drama,1995,8,6,1.479446
Les Miserables,History,1995,8,6,1.479446
Bed of Roses,Drama,1996,27,5,10.412194
Bed of Roses,Romance,1996,27,5,10.412194
Big Bully,Comedy,1996,16,3,2.936443
Big Bully,Family,1996,16,3,2.936443
Screamers,Horror,1995,154,6,12.758848
Screamers,Science Fiction,1995,154,6,12.758848
Nico Icon,Documentary,1995,3,7,0.133893
The Crossing Guard,Drama,1995,74,6,5.756462
The Crossing Guard,Thriller,1995,74,6,5.756462
The Juror,Drama,1996,91,5,6.010579
The Juror,Thriller,1996,91,5,6.010579
The White Balloon,Family,1995,20,7,1.196256
The White Balloon,Drama,1995,20,7,1.196256
Things to Do in Denver When You're Dead,Drama,1995,87,6,4.486179
Things to Do in Denver When You're Dead,Crime,1995,87,6,4.486179
Antonia's Line,Drama,1995,26,7,2.030174
Antonia's Line,Comedy,1995,26,7,2.030174
Once Upon a Time... When We Were Colored,Romance,1996,2,4,0.252287
Once Upon a Time... When We Were Colored,Drama,1996,2,4,0.252287
Angels and Insects,Drama,1995,17,6,2.15166
Angels and Insects,Romance,1995,17,6,2.15166
White Squall,Action,1996,86,6,9.568604
White Squall,Drama,1996,86,6,9.568604
Dunston Checks In,Adventure,1996,59,5,4.814825
Dunston Checks In,Comedy,1996,59,5,4.814825
Dunston Checks In,Family,1996,59,5,4.814825
Black Sheep,Comedy,1996,124,6,8.963037
Nick of Time,Crime,1995,190,6,6.848591
Nick of Time,Drama,1995,190,6,6.848591
Nick of Time,Thriller,1995,190,6,6.848591
The Journey of August King,Drama,1995,3,6,0.411424
Mary Reilly,Drama,1996,77,5,12.866139
Mary Reilly,Horror,1996,77,5,12.866139
Mary Reilly,Thriller,1996,77,5,12.866139
Mary Reilly,Romance,1996,77,5,12.866139
Vampire in Brooklyn,Comedy,1995,113,4,9.071127
Vampire in Brooklyn,Horror,1995,113,4,9.071127
Vampire in Brooklyn,Romance,1995,113,4,9.071127
Beautiful Girls,Comedy,1996,103,6,4.670562
Beautiful Girls,Drama,1996,103,6,4.670562
Beautiful Girls,Romance,1996,103,6,4.670562
Broken Arrow,Action,1996,459,5,14.957626
Broken Arrow,Adventure,1996,459,5,14.957626
Broken Arrow,Drama,1996,459,5,14.957626
Broken Arrow,Thriller,1996,459,5,14.957626
A Midwinter's Tale,Comedy,1995,6,7,0.513391
La Haine,Drama,1995,695,7,12.108196
Shopping,Action,1994,13,5,2.657647
Shopping,Adventure,1994,13,5,2.657647
Shopping,Drama,1994,13,5,2.657647
Shopping,Science Fiction,1994,13,5,2.657647
Shopping,Thriller,1994,13,5,2.657647
Heidi Fleiss: Hollywood Madam,Documentary,1995,4,6,0.638211
City Hall,Drama,1996,67,6,4.807223
City Hall,Thriller,1996,67,6,4.807223
Bottle Rocket,Comedy,1996,285,6,6.904831
Bottle Rocket,Crime,1996,285,6,6.904831
Bottle Rocket,Drama,1996,285,6,6.904831
Mr. Wrong,Comedy,1996,16,3,3.329264
Mr. Wrong,Romance,1996,16,3,3.329264
Unforgettable,Drama,1996,22,5,2.464425
Unforgettable,Mystery,1996,22,5,2.464425
Unforgettable,Science Fiction,1996,22,5,2.464425
Unforgettable,Thriller,1996,22,5,2.464425
Happy Gilmore,Comedy,1996,767,6,9.592265
The Bridges of Madison County,Drama,1995,397,7,5.951077
The Bridges of Madison County,Romance,1995,397,7,5.951077
Nobody Loves Me,Drama,1994,5,5,1.015068
Nobody Loves Me,Comedy,1994,5,5,1.015068
Nobody Loves Me,Family,1994,5,5,1.015068
Muppet Treasure Island,Action,1996,93,6,6.902423
Muppet Treasure Island,Comedy,1996,93,6,6.902423
Muppet Treasure Island,Music,1996,93,6,6.902423
Muppet Treasure Island,Family,1996,93,6,6.902423
Muppet Treasure Island,Adventure,1996,93,6,6.902423
Catwalk,Documentary,1995,2,7,0.976707
Headless Body in Topless Bar,Crime,1995,0,0,0.001346
Braveheart,Action,1995,3404,7,20.755149
Braveheart,Drama,1995,3404,7,20.755149
Braveheart,History,1995,3404,7,20.755149
Braveheart,War,1995,3404,7,20.755149
Taxi Driver,Crime,1976,2632,8,14.092713
Taxi Driver,Drama,1976,2632,8,14.092713
Rumble in the Bronx,Crime,1995,245,6,12.314278
Rumble in the Bronx,Action,1995,245,6,12.314278
Rumble in the Bronx,Comedy,1995,245,6,12.314278
Rumble in the Bronx,Thriller,1995,245,6,12.314278
Before and After,Drama,1996,37,5,2.938293
Before and After,Thriller,1996,37,5,2.938293
Margaret's Museum,Drama,1995,2,7,0.372697
Happiness Is in the Field,Comedy,1995,23,7,1.254885
Anne Frank Remembered,Documentary,1995,4,7,0.243986
Anne Frank Remembered,Drama,1995,4,7,0.243986
Anne Frank Remembered,Foreign,1995,4,7,0.243986
The Young Poisoner's Handbook,Comedy,1995,19,6,6.178497
The Young Poisoner's Handbook,Crime,1995,19,6,6.178497
The Young Poisoner's Handbook,Drama,1995,19,6,6.178497
If Lucy Fell,Comedy,1996,11,5,2.891918
If Lucy Fell,Romance,1996,11,5,2.891918
Steal Big Steal Little,Comedy,1995,7,5,1.522412
Steal Big Steal Little,Drama,1995,7,5,1.522412
Race the Sun,Action,1996,21,5,1.317878
Race the Sun,Adventure,1996,21,5,1.317878
Race the Sun,Comedy,1996,21,5,1.317878
Race the Sun,Drama,1996,21,5,1.317878
Race the Sun,Family,1996,21,5,1.317878
The Boys of St. Vincent,Drama,1992,7,7,0.86539
Boomerang,Comedy,1992,139,5,6.506983
Boomerang,Romance,1992,139,5,6.506983
Chungking Express,Drama,1994,249,7,6.778979
Chungking Express,Comedy,1994,249,7,6.778979
Chungking Express,Romance,1994,249,7,6.778979
The Star Maker,Drama,1995,29,6,1.702639
The Star Maker,Romance,1995,29,6,1.702639
Flirting with Disaster,Comedy,1996,66,6,5.579088
Flirting with Disaster,Romance,1996,66,6,5.579088
The Neverending Story III: Escape from Fantasia,Fantasy,1994,105,4,6.252377
The Silences of the Palace,Drama,1994,3,4,0.406754
Pie in the Sky,Comedy,1996,2,7,0.699066
Pie in the Sky,Romance,1996,2,7,0.699066
Angela,Comedy,1995,9,5,2.197439
Angela,Drama,1995,9,5,2.197439
Frankie Starlight,Drama,1995,4,5,0.637554
Frankie Starlight,Romance,1995,4,5,0.637554
Frankie Starlight,War,1995,4,5,0.637554
Jade,Action,1995,45,5,11.418917
Jade,Thriller,1995,45,5,11.418917
Jade,Mystery,1995,45,5,11.418917
Jade,Romance,1995,45,5,11.418917
Nueba Yol,Comedy,1995,1,5,0.291021
Nueba Yol,Drama,1995,1,5,0.291021
Nueba Yol,Romance,1995,1,5,0.291021
Sonic Outlaws,Music,1995,0,0,0.001838
Sonic Outlaws,Documentary,1995,0,0,0.001838
Down Periscope,Comedy,1996,110,5,5.184977
From the Journals of Jean Seberg,Documentary,1995,2,6,0.276401
Man of the Year,Comedy,1995,2,3,0.540436
The Neon Bible,Drama,1995,5,7,0.370342
Up Close & Personal,Drama,1996,51,5,3.402749
Up Close & Personal,Romance,1996,51,5,3.402749
The Birdcage,Comedy,1996,303,6,6.49968
Virgin Mary,Drama,1995,2,7,0.918504
The Brothers McMullen,Comedy,1995,23,6,2.039196
The Brothers McMullen,Drama,1995,23,6,2.039196
The Brothers McMullen,Romance,1995,23,6,2.039196
Bad Boys,Action,1995,1729,6,9.262184
Bad Boys,Comedy,1995,1729,6,9.262184
Bad Boys,Crime,1995,1729,6,9.262184
Bad Boys,Thriller,1995,1729,6,9.262184
The Amazing Panda Adventure,Action,1995,31,5,2.375865
The Amazing Panda Adventure,Adventure,1995,31,5,2.375865
The Amazing Panda Adventure,Drama,1995,31,5,2.375865
The Amazing Panda Adventure,Family,1995,31,5,2.375865
The Basketball Diaries,Drama,1995,472,7,7.415144
The Basketball Diaries,Crime,1995,472,7,7.415144
An Awfully Big Adventure,Romance,1995,11,6,0.922958
An Awfully Big Adventure,Drama,1995,11,6,0.922958
An Awfully Big Adventure,Comedy,1995,11,6,0.922958
Amateur,Crime,1994,21,6,1.759012
Amateur,Comedy,1994,21,6,1.759012
Amateur,Drama,1994,21,6,1.759012
Amateur,Thriller,1994,21,6,1.759012
Apollo 13,Drama,1995,1637,7,18.761467
Rob Roy,Adventure,1995,151,6,10.193549
The Addiction,Drama,1995,46,6,3.137285
The Addiction,Horror,1995,46,6,3.137285
Batman Forever,Action,1995,1529,5,13.321354
Batman Forever,Crime,1995,1529,5,13.321354
Batman Forever,Fantasy,1995,1529,5,13.321354
Belle de Jour,Drama,1967,163,7,10.142662
Belle de Jour,Romance,1967,163,7,10.142662
Beyond Rangoon,Drama,1995,21,6,2.04189
Beyond Rangoon,Thriller,1995,21,6,2.04189
Blue in the Face,Comedy,1995,28,6,11.528147
Canadian Bacon,Action,1995,57,5,5.391556
Canadian Bacon,Comedy,1995,57,5,5.391556
Casper,Fantasy,1995,1045,6,12.812539
Casper,Comedy,1995,1045,6,12.812539
Casper,Family,1995,1045,6,12.812539
Clockers,Mystery,1995,69,6,4.558992
Clockers,Crime,1995,69,6,4.558992
Clockers,Drama,1995,69,6,4.558992
Congo,Action,1995,214,5,7.260574
Congo,Adventure,1995,214,5,7.260574
Congo,Drama,1995,214,5,7.260574
Congo,Mystery,1995,214,5,7.260574
Congo,Science Fiction,1995,214,5,7.260574
Congo,Thriller,1995,214,5,7.260574
Crimson Tide,Action,1995,508,7,8.657365
Crimson Tide,Thriller,1995,508,7,8.657365
Crimson Tide,Drama,1995,508,7,8.657365
Crumb,Documentary,1994,71,7,3.620388
Desperado,Thriller,1995,898,6,6.950458
Desperado,Action,1995,898,6,6.950458
Desperado,Crime,1995,898,6,6.950458
Devil in a Blue Dress,Drama,1995,88,6,4.646132
Devil in a Blue Dress,Mystery,1995,88,6,4.646132
Devil in a Blue Dress,Thriller,1995,88,6,4.646132
Die Hard: With a Vengeance,Action,1995,2094,6,15.138855
Die Hard: With a Vengeance,Thriller,1995,2094,6,15.138855
The Doom Generation,Action,1995,57,5,7.120806
The Doom Generation,Comedy,1995,57,5,7.120806
The Doom Generation,Crime,1995,57,5,7.120806
The Doom Generation,Drama,1995,57,5,7.120806
Feast of July,Drama,1995,0,0,0.523575
Feast of July,Crime,1995,0,0,0.523575
First Knight,Action,1995,319,5,15.178338
First Knight,Adventure,1995,319,5,15.178338
First Knight,Drama,1995,319,5,15.178338
First Knight,Romance,1995,319,5,15.178338
Free Willy 2 - The Adventure Home,Adventure,1995,130,5,7.575098
Hackers,Action,1995,406,6,14.810519
Hackers,Crime,1995,406,6,14.810519
Hackers,Thriller,1995,406,6,14.810519
Hackers,Drama,1995,406,6,14.810519
Jeffrey,Comedy,1995,19,6,3.196456
Jeffrey,Drama,1995,19,6,3.196456
Jeffrey,Romance,1995,19,6,3.196456
Johnny Mnemonic,Adventure,1995,380,5,11.715868
Johnny Mnemonic,Action,1995,380,5,11.715868
Johnny Mnemonic,Drama,1995,380,5,11.715868
Johnny Mnemonic,Science Fiction,1995,380,5,11.715868
Johnny Mnemonic,Thriller,1995,380,5,11.715868
Judge Dredd,Science Fiction,1995,643,5,8.184815
Jury Duty,Comedy,1995,34,4,3.676921
Jury Duty,Drama,1995,34,4,3.676921
Kids,Drama,1995,280,6,4.877872
Kids,Crime,1995,280,6,4.877872
Living in Oblivion,Drama,1995,64,7,10.058329
Living in Oblivion,Comedy,1995,64,7,10.058329
Lord of Illusions,Mystery,1995,87,5,4.102409
Lord of Illusions,Horror,1995,87,5,4.102409
Lord of Illusions,Thriller,1995,87,5,4.102409
Love & Human Remains,Comedy,1993,7,7,0.354014
Love & Human Remains,Drama,1993,7,7,0.354014
Mad Love,Drama,1995,27,5,2.624771
Mad Love,Family,1995,27,5,2.624771
Mad Love,Romance,1995,27,5,2.624771
Mallrats,Romance,1995,400,6,8.25547
Mallrats,Comedy,1995,400,6,8.25547
Mighty Morphin Power Rangers: The Movie,Action,1995,153,5,7.024227
Mighty Morphin Power Rangers: The Movie,Adventure,1995,153,5,7.024227
Mighty Morphin Power Rangers: The Movie,Science Fiction,1995,153,5,7.024227
Mighty Morphin Power Rangers: The Movie,Family,1995,153,5,7.024227
Mighty Morphin Power Rangers: The Movie,Fantasy,1995,153,5,7.024227
Moonlight and Valentino,Comedy,1995,10,5,1.01115
Moonlight and Valentino,Drama,1995,10,5,1.01115
Moonlight and Valentino,Romance,1995,10,5,1.01115
Mute Witness,Thriller,1995,36,6,2.466066
Mute Witness,Foreign,1995,36,6,2.466066
Nadja,Horror,1994,12,5,7.720056
Nadja,Thriller,1994,12,5,7.720056
The Net,Crime,1995,359,5,13.304342
The Net,Drama,1995,359,5,13.304342
The Net,Mystery,1995,359,5,13.304342
The Net,Thriller,1995,359,5,13.304342
The Net,Action,1995,359,5,13.304342
Nine Months,Comedy,1995,171,5,8.482834
Party Girl,Comedy,1995,14,5,1.165039
The Prophecy,Fantasy,1995,139,6,10.187623
The Prophecy,Horror,1995,139,6,10.187623
The Prophecy,Thriller,1995,139,6,10.187623
Reckless,Fantasy,1995,1,10,0.119713
Reckless,Comedy,1995,1,10,0.119713
Reckless,Drama,1995,1,10,0.119713
Safe,Drama,1995,62,7,8.180047
The Scarlet Letter,Drama,1995,111,5,6.752119
The Scarlet Letter,History,1995,111,5,6.752119
The Scarlet Letter,Romance,1995,111,5,6.752119
The Show,Documentary,1995,2,5,0.159596
Showgirls,Drama,1995,261,4,17.502375
Smoke,Comedy,1995,115,7,5.552946
Smoke,Drama,1995,115,7,5.552946
Something to Talk About,Comedy,1995,60,5,3.743212
Species,Science Fiction,1995,457,5,13.492845
Species,Horror,1995,457,5,13.492845
Species,Action,1995,457,5,13.492845
The Stars Fell on Henrietta,Drama,1995,6,6,0.913522
Strange Days,Crime,1995,334,6,11.223055
Strange Days,Drama,1995,334,6,11.223055
Strange Days,Science Fiction,1995,334,6,11.223055
Strange Days,Thriller,1995,334,6,11.223055
The Umbrellas of Cherbourg,Drama,1964,119,7,8.133881
The Umbrellas of Cherbourg,Romance,1964,119,7,8.133881
The Tie That Binds,Thriller,1995,9,4,1.820419
Three Wishes,Drama,1995,18,6,11.002046
Three Wishes,Fantasy,1995,18,6,11.002046
Total Eclipse,Drama,1995,112,6,4.546552
Total Eclipse,Romance,1995,112,6,4.546552
"To Wong Foo, Thanks for Everything! Julie Newmar",Comedy,1995,117,6,7.653446
Under Siege 2: Dark Territory,Action,1995,217,5,7.490247
Under Siege 2: Dark Territory,Thriller,1995,217,5,7.490247
Unstrung Heroes,Comedy,1995,9,6,2.881689
Unstrung Heroes,Drama,1995,9,6,2.881689
Unstrung Heroes,Family,1995,9,6,2.881689
Unzipped,Documentary,1995,6,6,0.786023
A Walk in the Clouds,Drama,1995,168,6,9.715639
A Walk in the Clouds,Romance,1995,168,6,9.715639
Waterworld,Adventure,1995,1017,5,16.885184
Waterworld,Action,1995,1017,5,16.885184
White Man's Burden,Drama,1995,25,5,1.834099
Wild Bill,Action,1995,27,5,8.922139
Wild Bill,Western,1995,27,5,8.922139
The Browning Version,Drama,1994,11,6,3.727644
Bushwhacked,Adventure,1995,29,4,3.287036
Bushwhacked,Action,1995,29,4,3.287036
Bushwhacked,Comedy,1995,29,4,3.287036
Bushwhacked,Crime,1995,29,4,3.287036
Bushwhacked,Family,1995,29,4,3.287036
Burnt by the Sun,Drama,1994,35,6,2.486073
Before the Rain,Drama,1994,45,7,3.525649
Before the Rain,War,1994,45,7,3.525649
Before Sunrise,Drama,1995,984,7,11.304979
Before Sunrise,Romance,1995,984,7,11.304979
Billy Madison,Comedy,1995,464,6,6.638116
The Babysitter,Drama,1995,27,4,2.761837
The Babysitter,Thriller,1995,27,4,2.761837
Boys on the Side,Comedy,1995,48,6,3.030309
Boys on the Side,Drama,1995,48,6,3.030309
The Cure,Drama,1995,58,7,2.686342
The Cure,Family,1995,58,7,2.686342
Castle Freak,Thriller,1995,40,5,2.26977
Castle Freak,Drama,1995,40,5,2.26977
Castle Freak,Horror,1995,40,5,2.26977
Castle Freak,Mystery,1995,40,5,2.26977
Circle of Friends,Drama,1995,30,6,2.605521
Circle of Friends,Family,1995,30,6,2.605521
Circle of Friends,Romance,1995,30,6,2.605521
Clerks,Comedy,1994,769,7,10.513367
Don Juan DeMarco,Romance,1994,184,6,7.438934
Don Juan DeMarco,Drama,1994,184,6,7.438934
Don Juan DeMarco,Comedy,1994,184,6,7.438934
Disclosure,Drama,1994,217,5,11.812244
Disclosure,Thriller,1994,217,5,11.812244
Disclosure,Crime,1994,217,5,11.812244
Disclosure,Mystery,1994,217,5,11.812244
Disclosure,Romance,1994,217,5,11.812244
Dream Man,Thriller,1995,1,2,0.155859
Drop Zone,Action,1994,91,5,9.579155
Drop Zone,Adventure,1994,91,5,9.579155
Drop Zone,Thriller,1994,91,5,9.579155
Destiny Turns on the Radio,Crime,1995,9,5,0.710671
Destiny Turns on the Radio,Comedy,1995,9,5,0.710671
Destiny Turns on the Radio,Fantasy,1995,9,5,0.710671
Death and the Maiden,Drama,1994,92,7,5.484156
Death and the Maiden,Thriller,1994,92,7,5.484156
Death and the Maiden,Mystery,1994,92,7,5.484156
Dolores Claiborne,Crime,1995,183,7,5.8025
Dolores Claiborne,Drama,1995,183,7,5.8025
Dolores Claiborne,Mystery,1995,183,7,5.8025
Dumb and Dumber,Comedy,1994,1894,6,9.844558
Eat Drink Man Woman,Comedy,1994,76,7,4.860016
Eat Drink Man Woman,Drama,1994,76,7,4.860016
Eat Drink Man Woman,Romance,1994,76,7,4.860016
Exotica,Drama,1994,64,6,5.378467
Exotica,Mystery,1994,64,6,5.378467
Exit to Eden,Thriller,1994,28,4,4.322726
Exit to Eden,Comedy,1994,28,4,4.322726
Exit to Eden,Crime,1994,28,4,4.322726
Exit to Eden,Romance,1994,28,4,4.322726
Ed Wood,Comedy,1994,639,7,11.720358
Ed Wood,Drama,1994,639,7,11.720358
Ed Wood,History,1994,639,7,11.720358
French Kiss,Comedy,1995,179,6,9.146544
French Kiss,Romance,1995,179,6,9.146544
Forget Paris,Comedy,1995,38,6,16.236745
Forget Paris,Drama,1995,38,6,16.236745
Forget Paris,Romance,1995,38,6,16.236745
Far from Home: The Adventures of Yellow Dog,Action,1995,27,5,2.657337
Far from Home: The Adventures of Yellow Dog,Adventure,1995,27,5,2.657337
Far from Home: The Adventures of Yellow Dog,Drama,1995,27,5,2.657337
Far from Home: The Adventures of Yellow Dog,Family,1995,27,5,2.657337
A Goofy Movie,Romance,1995,404,6,10.177977
A Goofy Movie,Animation,1995,404,6,10.177977
A Goofy Movie,Family,1995,404,6,10.177977
A Goofy Movie,Comedy,1995,404,6,10.177977
A Goofy Movie,Adventure,1995,404,6,10.177977
Hideaway,Drama,1995,24,5,8.182165
Hideaway,Thriller,1995,24,5,8.182165
Fluke,Drama,1995,48,6,4.953936
Fluke,Family,1995,48,6,4.953936
Fluke,Fantasy,1995,48,6,4.953936
Farinelli,History,1994,20,5,8.935058
Farinelli,Drama,1994,20,5,8.935058
Gordy,Drama,1995,4,3,0.398924
