title,year,vote_count,vote_average,popularity,genres,soup
Mighty Aphrodite,1995,145,6,15.899134,"['Comedy', 'Romance']",prostitut adopt adoptivefath childless lookingforbirthpar adoptivemoth independentfilm illegalprostitut child woodyallen mirasorvino helenabonhamcarter woodyallen woodyallen woodyallen Comedy Romance
Lamerica,1994,11,7,1.361286,"['Drama', 'Foreign']",independentfilm enricoloverso micheleplacido piromilkani gianniamelio gianniamelio gianniamelio Drama Foreign
The Big Green,1995,41,5,5.982764,"['Action', 'Adventure', 'Comedy', 'Family']",sport kidsandfamili soccer womandirector steveguttenberg oliviad'abo jayo.sanders hollygoldbergsloan hollygoldbergsloan hollygoldbergsloan Action Adventure Comedy Family
Georgia,1995,15,6,4.093443,['Drama'],alcohol artist music drug band jenniferjasonleigh marewinningham tedlevine ulugrosbard ulugrosbard ulugrosbard Drama
Home for the Holidays,1995,39,6,8.416802,"['Comedy', 'Drama', 'Romance']",baltimor thanksgiv familyclan familyconflict womandirector hollyhunter robertdowneyjr. annebancroft jodiefoster jodiefoster jodiefoster Comedy Drama Romance
The Postman,1994,181,7,10.168437,"['Comedy', 'Drama', 'Romance']",island letter postman fisherman poet philippenoiret massimotroisi mariagraziacucinotta michaelradford michaelradford michaelradford Comedy Drama Romance
The Confessional,1995,2,6,0.120789,"['Thriller', 'Drama', 'Mystery']",lothairebluteau patrickgoyette jean-louismillette robertlepage robertlepage robertlepage Thriller Drama Mystery
The Indian in the Cupboard,1995,136,5,10.673296,"['Adventure', 'Family', 'Fantasy']",cupboard game puppet parallelworld toycomestolif halscardino litefoot lindsaycrouse frankoz frankoz frankoz Adventure Family Fantasy
Eye for an Eye,1996,65,5,4.733526,"['Drama', 'Thriller']",rape gun self-defens sallyfield kiefersutherland edharris johnschlesinger johnschlesinger johnschlesinger Drama Thriller
Mr. Holland's Opus,1995,115,6,7.137117,"['Music', 'Drama', 'Family']",compos mentor deaf-mut music apprentic privatelif music disabl richarddreyfuss glenneheadly jaythomas stephenherek stephenherek stephenherek Music Drama Family
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,192,6,11.700115,['Comedy'],date slang hip-hop cousin parodi hood gang socialsatir racism gangster shawnwayans marlonwayans traceycherellejones parisbarclay parisbarclay parisbarclay Comedy
Two If by Sea,1996,14,4,2.174487,"['Comedy', 'Romance']",island paint thief seasick sandrabullock denisleary yaphetkotto billbennett billbennett billbennett Comedy Romance
Bio-Dome,1996,110,4,6.387469,['Comedy'],biotop vegetarian pollut paulyshore stephenbaldwin joeylaurenadams jasonbloom jasonbloom jasonbloom Comedy
Lawnmower Man 2: Beyond Cyberspace,1996,32,2,2.49535,"['Action', 'Science Fiction']",hacker virtualr comput swordfight patrickbergin mattfrewer austino'brien farhadmann farhadmann farhadmann Action Science Fiction
French Twist,1995,43,6,2.518051,"['Comedy', 'Romance']",lovetriangl southernfr estateag menageatroi van womandirector victoriaabril josianebalasko alainchabat josianebalasko josianebalasko josianebalasko Comedy Romance
Friday,1995,513,7,14.56965,['Comedy'],rapmus parentchildrelationship rapper job icecube christucker nialong f.garygray f.garygray f.garygray Comedy
From Dusk Till Dawn,1996,1644,6,15.339153,"['Horror', 'Action', 'Thriller', 'Crime']",danc brotherbrotherrelationship sexualobsess showdown sheriff erotic nuditi bankrobb vampir holywat sieg stripper priest explos extremeviol bankrobberi preacher hostagesitu crucifix recreationalvehicl bloodspurt conveniencestor femalevampir georgeclooney quentintarantino harveykeitel robertrodriguez robertrodriguez robertrodriguez Horror Action Thriller Crime
Fair Game,1995,54,4,5.912223,"['Action', 'Thriller', 'Romance']",bomb miami sex detect handcuff basedonnovel hostag fbi kidnap russian kgb chase sadism parkinggarag pizza policeprotect psychopath remak carcrash conspiraci ontherun fugit shootout gunfight sadist footchas policedetect policest carchas heldatgunpoint fbiag doublecross cultfilm computerhack machinegun swatteam grenadelaunch underwaterscen rogueag damselindistress williambaldwin cindycrawford stevenberkoff andrewsipes andrewsipes andrewsipes Action Thriller Romance
Kicking and Screaming,1995,36,7,3.367276,"['Comedy', 'Drama', 'Romance']",colleg joshhamilton oliviad'abo carlosjacott noahbaumbach noahbaumbach noahbaumbach Comedy Drama Romance
Les Miserables,1995,8,6,1.479446,"['Drama', 'History']",pari nun boxer lawyer jewish jean-paulbelmondo michelboujenah alessandramartines claudelelouch claudelelouch claudelelouch Drama History
Bed of Roses,1996,27,5,10.412194,"['Drama', 'Romance']",florist familyrelationship christianslater marystuartmasterson pamelaadlon michaelgoldenberg michaelgoldenberg michaelgoldenberg Drama Romance
Screamers,1995,154,6,12.758848,"['Horror', 'Science Fiction']",manvsmachin alienplanet struggleforsurviv peterweller roydupuis jenniferrubin christianduguay christianduguay christianduguay Horror Science Fiction
Nico Icon,1995,3,7,0.133893,['Documentary'],nico tinaaumont jacksonbrowne susanneofteringer susanneofteringer susanneofteringer Documentary
The Crossing Guard,1995,74,6,5.756462,"['Drama', 'Thriller']",lossofdaught reveng suspens independentfilm tragedi jacknicholson davidmorse anjelicahuston seanpenn seanpenn seanpenn Drama Thriller
The Juror,1996,91,5,6.010579,"['Drama', 'Thriller']",juror blackmail courtcas son trial courtroom demimoore alecbaldwin josephgordon-levitt briangibson briangibson briangibson Drama Thriller
The White Balloon,1995,20,7,1.196256,"['Family', 'Drama']",fish money celebr aidamohammadkhani mohsenkafili fereshtehsadreorafaiy jafarpanahi jafarpanahi jafarpanahi Family Drama
Things to Do in Denver When You're Dead,1995,87,6,4.486179,"['Drama', 'Crime']",fathersonrelationship bountyhunt boat wayoflif coffin denver godmoth paranoia hitman friendship psychopath reveng murder independentfilm mafia diner blood gangster violenc illegalprostitut extramaritalaffair andygarcía christopherlloyd williamforsythe garyfleder garyfleder garyfleder Drama Crime
Antonia's Line,1995,26,7,2.030174,"['Drama', 'Comedy']",suicid underdog freelov philosophi rape mentallydis lossofmoth villagelif worldwarii femin indiansummer familyhistori widow peasant villag mathemat freedom rightandjustic singl homosexu motherdaughterrelationship domesticviol univers womandirector willekevanammelrooy elsdottermans doravandergroen marleengorris marleengorris marleengorris Drama Comedy
Once Upon a Time... When We Were Colored,1996,2,4,0.252287,"['Romance', 'Drama']","racialsegreg familyrelationship ruralset africanamerican alfreeman,jr. phyliciarashād paulakelly timreid timreid timreid Romance Drama"
Last Summer in the Hamptons,1995,0,0,0.531159,[],victoriafoyt vivecalindfors jonrobinbaitz henryjaglom henryjaglom henryjaglom
Angels and Insects,1995,17,6,2.15166,"['Drama', 'Romance']",classsocieti richwoman-poorman scientist naturalist insect markrylance kristinscottthomas patsykensit philiphaas philiphaas philiphaas Drama Romance
White Squall,1996,86,6,9.568604,"['Action', 'Drama']",sailingtrip diari sail surviv comingofag teenageboy disciplin shipcaptain caribbean malebond seasick stormatsea 1960s jeffbridges carolinegoodall johnsavage ridleyscott ridleyscott ridleyscott Action Drama
Dunston Checks In,1996,59,5,4.814825,"['Adventure', 'Comedy', 'Family']",boss fistfight bulli orangutan jasonalexander fayedunaway ericlloyd kenkwapis kenkwapis kenkwapis Adventure Comedy Family
Black Sheep,1996,124,6,8.963037,['Comedy'],doubleact politicalsatir crookedpolitician womandirector chrisfarley davidspade grantheslov penelopespheeris penelopespheeris penelopespheeris Comedy
Nick of Time,1995,190,6,6.848591,"['Crime', 'Drama', 'Thriller']",assassin trainstat polit losangel johnnydepp courtneychase charless.dutton johnbadham johnbadham johnbadham Crime Drama Thriller
Mary Reilly,1996,77,5,12.866139,"['Drama', 'Horror', 'Thriller', 'Romance']",servant monster laboratori jekyllandhyd 19thcenturi juliaroberts johnmalkovich georgecole stephenfrears stephenfrears stephenfrears Drama Horror Thriller Romance
Vampire in Brooklyn,1995,113,4,9.071127,"['Comedy', 'Horror', 'Romance']",vampir halfvampir eddiemurphy angelabassett allenpayne wescraven wescraven wescraven Comedy Horror Romance
Beautiful Girls,1996,103,6,4.670562,"['Comedy', 'Drama', 'Romance']",hometown mattdillon noahemmerich annabethgish teddemme teddemme teddemme Comedy Drama Romance
Broken Arrow,1996,459,5,14.957626,"['Action', 'Adventure', 'Drama', 'Thriller']",helicopt river captain underground mexicanstandoff countdown pilot fistfight canyon major betray gunfight train explos desert militari box abandonedmin johntravolta christianslater samanthamathis johnwoo johnwoo johnwoo Action Adventure Drama Thriller
A Midwinter's Tale,1995,6,7,0.513391,['Comedy'],play hamlet christma actor richardbriers joancollins michaelmaloney kennethbranagh kennethbranagh kennethbranagh Comedy
La Haine,1995,695,7,12.108196,['Drama'],pari neo-nazi skinhead robberi policebrut hip-hop gun sociallydeprivedfamili breakdanc arabian boredom reveng suburb violenc policeoffic unemploy captur xenophobia vincentcassel hubertkoundé saïdtaghmaoui mathieukassovitz mathieukassovitz mathieukassovitz Drama
Shopping,1994,13,5,2.657647,"['Action', 'Adventure', 'Drama', 'Science Fiction', 'Thriller']",sadiefrost judelaw seanpertwee paulw.s.anderson paulw.s.anderson paulw.s.anderson Action Adventure Drama Science Fiction Thriller
Heidi Fleiss: Hollywood Madam,1995,4,6,0.638211,['Documentary'],narrat hollywood prostitut nickbroomfield heidifleiss madamalex nickbroomfield nickbroomfield nickbroomfield Documentary
City Hall,1996,67,6,4.807223,"['Drama', 'Thriller']",corrupt undercov warondrug mayor drugdeal presidentialelect undercoverag investig polic drug alpacino johncusack bridgetfonda haroldbecker haroldbecker haroldbecker Drama Thriller
Bottle Rocket,1996,285,6,6.904831,"['Comedy', 'Crime', 'Drama']",brotherbrotherrelationship robberi burglar languagebarri motel independentfilm psychiatrichospit maid theft nervousbreakdown escapad lukewilson owenwilson lumicavazos wesanderson wesanderson wesanderson Comedy Crime Drama
Mr. Wrong,1996,16,3,3.329264,"['Comedy', 'Romance']",ellendegeneres billpullman joancusack nickcastle nickcastle nickcastle Comedy Romance
Unforgettable,1996,22,5,2.464425,"['Drama', 'Mystery', 'Science Fiction', 'Thriller']",wifehusbandrelationship experi polic murder suspens memori forens gunman animalexperiment rayliotta lindafiorentino petercoyote johndahl johndahl johndahl Drama Mystery Science Fiction Thriller
Happy Gilmore,1996,767,6,9.592265,['Comedy'],lossofmoth lossoffath golf sport tax adamsandler benstiller christophermcdonald dennisdugan dennisdugan dennisdugan Comedy
The Bridges of Madison County,1995,397,7,5.951077,"['Drama', 'Romance']",farewel adulteri loveatfirstsight photograph wifehusbandrelationship iowa loveofone'slif motherrol bridg housewif lovelett peasant marriagecrisi photographi unsoci secretlov merylstreep clinteastwood anniecorley clinteastwood clinteastwood clinteastwood Drama Romance
Muppet Treasure Island,1996,93,6,6.902423,"['Action', 'Comedy', 'Music', 'Family', 'Adventure']",island pirategang puppet treasurehunt timcurry kevinbishop jennifersaunders brianhenson brianhenson brianhenson Action Comedy Music Family Adventure
Catwalk,1995,2,7,0.976707,['Documentary'],christyturlington azzedinealaïa giorgioarmani robertleacock robertleacock robertleacock Documentary
Braveheart,1995,3404,7,20.755149,"['Action', 'Drama', 'History', 'War']",individu scotland inlovewithenemi legend independ ideal revolt tyranni melgibson catherinemccormack sophiemarceau melgibson melgibson melgibson Action Drama History War
Taxi Driver,1976,2632,8,14.092713,"['Crime', 'Drama']",vietnamveteran taxi obsess drugdeal nightshift vigilant alien misanthrop shottodeath illegalprostitut loner robertdeniro cybillshepherd harveykeitel martinscorsese martinscorsese martinscorsese Crime Drama
Rumble in the Bronx,1995,245,6,12.314278,"['Crime', 'Action', 'Comedy', 'Thriller']",newyork martialart supermarket gangwar gang wed diamond bronx duringcreditssting jackiechan anitamui françoiseyip stanleytong stanleytong stanleytong Crime Action Comedy Thriller
Before and After,1996,37,5,2.938293,"['Drama', 'Thriller']",merylstreep liamneeson edwardfurlong barbetschroeder barbetschroeder barbetschroeder Drama Thriller
Margaret's Museum,1995,2,7,0.372697,['Drama'],mine dancelesson coalmin bagpip helenabonhamcarter cliverussell craigolejnik mortransen mortransen mortransen Drama
Anne Frank Remembered,1995,4,7,0.243986,"['Documentary', 'Drama', 'Foreign']",fascism auschwitz typhus victim interview prejudic burglari rabbit kennethbranagh glennclose jonblair jonblair jonblair Documentary Drama Foreign
The Young Poisoner's Handbook,1995,19,6,6.178497,"['Comedy', 'Crime', 'Drama']",londonengland poison basedontruestori murder serialkil mentalinstitut teenag psychiatrist tobiasarnold ruthsheen rogerlloydpack benjaminross benjaminross benjaminross Comedy Crime Drama
If Lucy Fell,1996,11,5,2.891918,"['Comedy', 'Romance']",roommat singl love independentfilm bestfriend brooklynbridg sarahjessicaparker ellemacpherson scarlettjohansson ericschaeffer ericschaeffer ericschaeffer Comedy Romance
Steal Big Steal Little,1995,7,5,1.522412,"['Comedy', 'Drama']",brotherbrotherrelationship twinbroth lawyer estat andygarcía alanarkin rachelticotin andrewdavis andrewdavis andrewdavis Comedy Drama
The Boys of St. Vincent,1992,7,7,0.86539,['Drama'],henryczerny johnnymorina briandooley johnn.smith johnn.smith johnn.smith Drama
Boomerang,1992,139,5,6.506983,"['Comedy', 'Romance']",roleofwomen ladykil success ladies'man casanova woman eddiemurphy robingivens halleberry reginaldhudlin reginaldhudlin reginaldhudlin Comedy Romance
Chungking Express,1994,249,7,6.778979,"['Drama', 'Comedy', 'Romance']",ex-girlfriend drugsmuggl girlfriend snackbar romanc hongkong flightattend brigittelin tonyleungchiu-wai fayewong wongkar-wai wongkar-wai wongkar-wai Drama Comedy Romance
The Star Maker,1995,29,6,1.702639,"['Drama', 'Romance']",sergiocastellitto tizianalodato francoscaldati giuseppetornatore giuseppetornatore giuseppetornatore Drama Romance
Flirting with Disaster,1996,66,6,5.579088,"['Comedy', 'Romance']",lsd lookingforbirthpar half-broth independentfilm benstiller patriciaarquette téaleoni davido.russell davido.russell davido.russell Comedy Romance
The Neverending Story III: Escape from Fantasia,1994,105,4,6.252377,['Fantasy'],fli magic jasonjamesrichter melodykay kevinmcnulty petermacdonald petermacdonald petermacdonald Fantasy
Pie in the Sky,1996,2,7,0.699066,"['Comedy', 'Romance']",joshcharles anneheche johngoodman bryangordon bryangordon bryangordon Comedy Romance
Angela,1995,9,5,2.197439,"['Comedy', 'Drama']",independentfilm womandirector mirandarhyne charlotteeveblythe annalevine rebeccamiller rebeccamiller rebeccamiller Comedy Drama
Frankie Starlight,1995,4,5,0.637554,"['Drama', 'Romance', 'War']",boy writer ireland flashback mattdillon corbanwalker gabrielbyrne michaellindsay-hogg michaellindsay-hogg michaellindsay-hogg Drama Romance War
Jade,1995,45,5,11.418917,"['Action', 'Thriller', 'Mystery', 'Romance']",callgirl sanfrancisco investig murder davidcaruso lindafiorentino chazzpalminteri williamfriedkin williamfriedkin williamfriedkin Action Thriller Mystery Romance
Down Periscope,1996,110,5,5.184977,['Comedy'],submarin u.s.navi misfit kelseygrammer laurenholly robschneider davids.ward davids.ward davids.ward Comedy
Man of the Year,1995,2,3,0.540436,['Comedy'],homosexu independentfilm mockumentari dirkshafer marystein claudettesutherland dirkshafer dirkshafer dirkshafer Comedy
Up Close & Personal,1996,51,5,3.402749,"['Drama', 'Romance']",skabundertv foran nederstehyld robertredford michellepfeiffer stockardchanning jonavnet jonavnet jonavnet Drama Romance
The Birdcage,1996,303,6,6.49968,['Comedy'],gay dragqueen homophobia florida comingout senat politician lgbt crossdress 1990s robinwilliams genehackman nathanlane mikenichols mikenichols mikenichols Comedy
The Brothers McMullen,1995,23,6,2.039196,"['Comedy', 'Drama', 'Romance']",love independentfilm bestfriend truelov irishcathol sharialbert maxinebahns catharinebolz edwardburns edwardburns edwardburns Comedy Drama Romance
Bad Boys,1995,1729,6,9.262184,"['Action', 'Comedy', 'Crime', 'Thriller']",miami detect handcuff airport mexicanstandoff stripclub witnessprotect carcrash internalaffair gunfight explos brutal footchas carchas druglord actionhero corruptcop willsmith martinlawrence téaleoni michaelbay michaelbay michaelbay Action Comedy Crime Thriller
The Amazing Panda Adventure,1995,31,5,2.375865,"['Action', 'Adventure', 'Drama', 'Family']",china panda poacher stephenlang ryanslater yiding christophercain christophercain christophercain Action Adventure Drama Family
The Basketball Diaries,1995,472,7,7.415144,"['Drama', 'Crime']",sport basketbal addict friend drug leonardodicaprio lorrainebracco jamesmadio scottkalvert scottkalvert scottkalvert Drama Crime
An Awfully Big Adventure,1995,11,6,0.922958,"['Romance', 'Drama', 'Comedy']",england basedonnovel 1940s alanrickman hughgrant georginacates mikenewell mikenewell mikenewell Romance Drama Comedy
Amateur,1994,21,6,1.759012,"['Crime', 'Comedy', 'Drama', 'Thriller']",independentfilm isabellehuppert martindonovan elinalöwensohn halhartley halhartley halhartley Crime Comedy Drama Thriller
Apollo 13,1995,1637,7,18.761467,['Drama'],moon florida nasa spaceman raceagainsttim basedontruestori space rescu surviv disast explos astronaut imax courag tomhanks billpaxton kevinbacon ronhoward ronhoward ronhoward Drama
